KABUPATEN KOTA,IBU KOTA,JUMLAH PENDUDUK,Usia 15-56,Ratarata Jumlah keluarga dalam bangunan,Rumah Tembok,Plasteran,Kayu,Persentase Penduduk Yang Menggunakan HP,,Persentase penduduk yang menggunakan PC/ Laptop,,Persentase Pengguna Internet,"Persentase
Device yang digunakan",,ITEM LUXURY,,,JUMLAH PENDUDUK,Rumah Tembok,Persentase Penduduk Yang Menggunakan HP,,Persentase penduduk yang menggunakan PC/ Laptop,,Persentase Pengguna Internet,"Persentase
Device yang digunakan",,ITEM LUXURY,,,Score,Posisi,Kab/Kota,Persentase Homepass,Total Homepass,CLUSTER,DATA CLUSTERISASI GERTH,,GAP,survey,Team,TUR,RAB Survey,Tahap I,,,Ranking,KABUPATEN KOTA,IBU KOTA
Kota Pekanbaru,Pekanbaru,983356,69.92,1.08,91.02,0,8.98,83.15,80.83,24.05,23.93,99.15,4.46,20.95,25.57,30.79,43.79,4,4,4,4,4,4,4,4,4,4,4,4,48,1,Kota Pekanbaru,16.271186440678%,31278.1016949153,87,313,,,261,26.1,10947.3355932203,52200000,15639.0508474576,15639.0508474576,59.2592592592593%,1,Kota Pekanbaru,Pekanbaru
Kota Dumai,Dumai,316782,67.61,1.28,76.88,0,22.24,77.82,71.24,12.96,14.29,98.16,2.23,12.5,17.59,19.4,33.39,2,3,3,3,2,2,4,2,2,3,3,4,33,2,Kota Dumai,11.1864406779661%,21503.6949152542,41.9994041313559,20,51,-21.9994041313559,125.998212394068,12.5998212394068,7526.29322033898,25199642.4788136,10751.8474576271,10751.8474576271,40.7407407407407%,2,Kota Dumai,Dumai
Siak,Siak Sri Indrapura,457940,65.7,1.43,68.03,0,30.9,77.2,69.13,14.01,13.12,96.51,2.8,8.05,10.32,13.61,25.14,2,2,3,2,2,2,3,2,1,2,2,4,27,3,Siak,9.15254237288136%,17593.9322033898,34.3631488347458,45,91,10.6368511652542,103.089446504237,10.3089446504237,6157.87627118644,20617889.3008475,8796.96610169492,8796.96610169492,33.3333333333333%,3,Siak,Siak Sri Indrapura
Pelalawan,Pangkalan Kerinci,390046,67.29,1.11,55.71,0,43.05,80.61,65.64,8.07,8.69,98.39,1.69,5.29,9.61,16.33,24.45,2,1,4,2,1,1,4,1,1,1,3,4,25,4,Pelalawan,8.47457627118644%,16290.6779661017,31.8177304025424,33,58,1.18226959745763,95.4531912076271,9.54531912076271,5701.73728813559,19090638.2415254,8145.33898305085,8145.33898305085,30.8641975308642%,4,Pelalawan,Pangkalan Kerinci
Bengkalis,Bengkalis,565569,66.68,1.26,58.79,0,41.01,76.2,65.37,10.04,11.41,95.8,1.48,7.86,8.19,11.44,19.14,3,1,3,2,2,2,2,1,1,1,2,3,23,5,Bengkalis,7.79661016949153%,14987.4237288136,29.272311970339,26,48,-3.27231197033899,87.816935911017,8.7816935911017,5245.59830508475,17563387.1822034,7493.71186440678,7493.71186440678,28.3950617283951%,5,Bengkalis,Bengkalis
Kuantan Singingi,Teluk Kuantan,334943,67.34,1.26,77.53,2.24,20.05,77.1,62.01,7.49,7.59,97.88,1.2,6.3,6.12,18.66,18.34,2,3,3,1,1,1,3,1,1,1,3,3,23,6,Kuantan Singingi,7.79661016949153%,14987.4237288136,29.272311970339,57,71,27.727688029661,87.816935911017,8.7816935911017,5245.59830508475,17563387.1822034,7493.71186440678,7493.71186440678,28.3950617283951%,6,Kuantan Singingi,Teluk Kuantan
Inragiri Hulu,Rengat,444548,67.65,1.33,51.12,8.65,45.28,77.05,65.85,7.79,8.27,94.54,1.76,8.1,10.64,12.48,19.8,2,1,3,2,1,1,2,1,1,2,2,3,21,7,Inragiri Hulu,7.11864406779661%,13684.1694915254,26.7268935381356,51,116,24.2731064618644,80.1806806144068,8.01806806144068,4789.4593220339,16036136.1228814,6842.08474576271,3421.04237288136,12.962962962963%,9,Inragiri Hulu,Rengat
Kep. Meranti,Selat Panjang,206116,67.56,1.36,18.68,0.26,80.77,72.09,58.49,9.14,10.01,98.79,2.56,8.27,2.19,0.07,12.24,1,1,3,1,1,2,4,2,1,1,1,2,20,8,Kep. Meranti,6.77966101694915%,13032.5423728814,25.4541843220339,7,20,-18.4541843220339,76.3625529661017,7.63625529661017,4561.38983050848,15272510.5932203,6516.27118644068,,0%,,Kep. Meranti,Selat Panjang
Kampar,Bangkinang,841332,67.13,1.2,77.27,0.63,21.93,76.35,62.6,8.03,8.51,93.18,0.8,6.19,7.68,14.24,13.89,3,3,3,1,1,1,1,1,1,1,2,2,20,9,Kampar,6.77966101694915%,13032.5423728814,25.4541843220339,89,182,63.5458156779661,76.3625529661017,7.63625529661017,4561.38983050848,15272510.5932203,6516.27118644068,6516.27118644068,24.6913580246914%,7,Kampar,Bangkinang
Rokan Hulu,Pasir Pengaraian,561385,66.16,1.32,63.49,0,36.05,76.02,57.4,8.38,8.77,92.96,0.25,7.3,8.69,12.22,16.99,3,1,3,1,1,1,1,1,1,1,2,3,19,10,Rokan Hulu,6.4406779661017%,12380.9152542373,24.1814751059322,69,129,44.8185248940678,72.5444253177966,7.25444253177966,4333.32033898305,14508885.0635593,6190.45762711864,3095.22881355932,11.7283950617284%,8,Rokan Hulu,Pasir Pengaraian
Indragiri Hilir,Tembilahan,654909,68.42,1.29,20.47,0.57,64.53,71.76,52.83,6.24,5.3,97.25,0.87,5.1,3.2,1.81,9.68,3,1,3,1,1,1,3,1,1,1,1,1,18,11,Indragiri Hilir,6.10169491525424%,11729.2881355932,22.9087658898305,41,63,18.0912341101695,68.7262976694915,6.87262976694915,4105.25084745763,13745259.5338983,5864.64406779661,2932.32203389831,11.1111111111111%,10,Indragiri Hilir,Tembilahan
